Symbol,Name,Industry,Price,Change_Pct,AG_Score,AG_Details,Volume_Note,RS_Score,Vol_Explosion,Momentum_Accel,Sector_Leader,Flow_Ratio,Composite,Date
300414,中光防雷,通信设备,16.52,5.860113421550106,65.0,爆量突袭3.5x 强势连击🚀 光头阳 金身免伤防御盾,VolR:3.5x Burst:30,25.0,3.51,0.0,False,30.0,65.0,2026-02-26
603985,恒润股份,风电设备,17.9,5.8510638297872175,63.7,爆量突袭1.7x 老鸭头突破 主线共振,VolR:1.7x Burst:33,11.7,1.69,15.0,True,33.0,63.7,2026-02-26
688291,金橙子,软件开发,53.36,11.967044284243045,62.0,爆量突袭1.9x 强势连击🚀 光头阳 主线共振,VolR:1.9x Burst:33,25.0,1.89,0.0,True,33.0,62.0,2026-02-26
688072,拓荆科技,半导体,370.01,4.652777777777772,58.0,强势连击🚀 光头阳 金身免伤防御盾,VolR:1.6x Burst:23,25.0,1.57,0.0,False,23.0,58.0,2026-02-26
300129,泰胜风能,风电设备,14.59,3.0259365994236287,54.6,爆量突袭2.0x 强势连击🚀 主线共振,VolR:2.0x Burst:33,17.6,2.04,0.0,True,33.0,54.6,2026-02-26
002546,新联电子,电网设备,10.56,9.968520461699914,54.0,爆量突袭1.3x 强势连击🚀 光头阳 主线共振,VolR:1.3x Burst:25,25.0,1.28,0.0,True,25.0,54.0,2026-02-26
601179,中国西电,电网设备,15.92,1.7732742241925337,54.0,爆量突袭1.3x 强势连击🚀 主线共振,VolR:1.3x Burst:25,25.0,1.31,0.0,True,25.0,54.0,2026-02-26
300882,万胜智能,电网设备,23.15,1.8213356461405095,53.3,爆量突袭1.7x 强势连击🚀 光头阳 主线共振,VolR:1.7x Burst:33,16.3,1.66,0.0,True,33.0,53.3,2026-02-26
300389,艾比森,光学光电子,18.69,2.960526315789491,52.2,爆量突袭1.5x 光头阳 金身免伤防御盾 主线共振,VolR:1.5x Burst:33,9.2,1.5,0.0,True,33.0,52.2,2026-02-26
002202,金风科技,风电设备,28.43,4.108584005869398,52.0,强势连击🚀 主线共振,VolR:2.0x Burst:23,25.0,1.98,0.0,True,23.0,52.0,2026-02-26
600537,亿晶光电,光伏设备,3.99,3.3613445378151363,50.6,强势连击🚀 主线共振,VolR:1.7x Burst:23,23.6,1.7,0.0,True,23.0,50.6,2026-02-26
300776,帝尔激光,光伏设备,97.04,7.621381886087764,50.0,爆量突袭1.6x 光头阳 主线共振,VolR:1.6x Burst:33,13.0,1.57,0.0,True,33.0,50.0,2026-02-26
600110,诺德股份,电池,8.16,1.8359853121175052,50.0,强势连击🚀 金身免伤防御盾,VolR:3.0x Burst:15,25.0,2.97,0.0,False,15.0,50.0,2026-02-26
300249,依米康,计算机设备,17.81,7.3684210526315574,46.7,爆量突袭1.3x 光头阳 金身免伤防御盾 主线共振,VolR:1.3x Burst:25,11.7,1.32,0.0,True,25.0,46.7,2026-02-26
600312,平高电气,电网设备,22.84,0.961958898119808,45.1,爆量突袭1.1x 强势连击🚀 主线共振,VolR:1.1x Burst:25,16.1,1.1,0.0,True,25.0,45.1,2026-02-26
600206,有研新材,半导体,25.79,1.3221153846153744,44.0,强势连击🚀,VolR:3.3x Burst:15,25.0,3.34,0.0,False,15.0,44.0,2026-02-26
688048,长光华芯,半导体,156.35,4.929865177720272,44.0,强势连击🚀,VolR:1.3x Burst:15,25.0,1.32,0.0,False,15.0,44.0,2026-02-26
